Id,EmployeeId,Name,Date,GrossPayAmount,NetAmount,BasicPayAmount,SSSAmount,SSSERAmount,PagibigAmount,PagibigERAmount,PhilhealthAmount,PhilhealthERAmount,RestDayAmount,RestDayHrs,RegularHolidayAmount,RegularHolidayHrs,SpecialHolidayAmount,SpecialHolidayHrs,OvertimeAmount,OvertimeHrs,NightDiffAmount,NightDiffHrs,NightDiffOvertimeAmount,NightDiffOvertimeHrs,NightDiffRegularHolidayAmount,NightDiffRegularHolidayHrs,NightDiffSpecialHolidayAmount,NightDiffSpecialHolidayHrs,OvertimeRestDayAmount,OvertimeRestDayHrs,OvertimeRegularHolidayAmount,OvertimeRegularHolidayHrs,OvertimeSpecialHolidayAmount,OvertimeSpecialHolidayHrs,UnionDues,Absences,AbsencesAmount,Leaves,LeavesAmount,Lates,LatesAmount,Undertime,UndertimeAmount,Overbreak,OverbreakAmount,SvcCharge,CostOfLivingAllowanceAmount,MonthlyAllowanceAmount,SalaryUnderpaymentAmount,RefundAbsencesAmount,RefundUndertimeAmount,RefundOvertimeAmount,LaborHoursIncome,LaborHrs,TaxDeductions,TaxPercentage,TotalConstantDeductions,TotalLoanDeductions,TotalDeductions,Division,Department,Section,Position,Charging
e46a2df0-b850-427f-9ce4-0093e52e75fe,9b429f69-a065-466f-b212-e3cf9a19349f,"LastName1, FirstName1",11/10/2024,10250.0,7878.46,20500.0,922.0,1978.0,0.0,0.0,512.5,512.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,887.04,200.0,0.0,0.0,0.0,0.0,0.0,0.0,10250.0,71.0,0.0,0,2371.54,0.0,2371.54,Division 1,Department 1,Section 1,Position 1,Charging 1A
552e15ae-ad9c-4c02-a3cb-86d889862ad6,bbfa77ce-36c2-4d5b-90f1-c1b6053b3cbe,"LastName2, FirstName2",11/10/2024,10300.0,7624.52,20600.0,922.0,1978.0,0.0,0.0,515.0,515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0,0.0,0.0,0.0,2.0,198.08,0.0,0.0,10.0,990.4,201.0,0.0,0.0,0.0,0.0,0.0,0.0,10300.0,68.0,0.0,0,2675.48,0.0,2675.48,Division 1,Department 1,Section 1,Position 1,Charging 1A
aee6c0d1-8b28-45f0-b4c5-5113cb2c7c6a,2509bf3b-2317-4f85-9c77-e56e8c7a25ae,"LastName3, FirstName3",11/10/2024,10350.0,8163.86,20700.0,922.0,1978.0,0.0,0.0,517.5,517.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0,0.0,0.0,0.0,0.0,0.0,1.0,99.52,6.0,597.12,202.0,0.0,0.0,0.0,0.0,0.0,0.0,10350.0,73.0,0.0,0,2186.14,0.0,2186.14,Division 1,Department 1,Section 1,Position 1,Charging 1A
a306b54f-9bc0-475e-b1fa-2d1cb21dd2aa,02cb49a0-083d-4556-9af0-d8b1104e32f0,"LastName4, FirstName4",11/10/2024,10400.0,7985.0,20800.0,945.0,2025.0,0.0,0.0,520.0,520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,900.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,10400.0,71.0,0.0,0,2415.0,0.0,2415.0,Division 1,Department 1,Section 1,Position 1,Charging 1A
2695bdb8-1188-4b97-b8db-cfde37df5f40,96a195ef-02ee-4d19-bc1f-ae7b83eb3b37,"LastName5, FirstName5",11/10/2024,10450.0,7626.26,20900.0,945.0,2025.0,0.0,0.0,522.5,522.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0,0.0,0.0,0.0,4.0,401.92,1.0,100.48,8.0,803.84,204.0,0.0,0.0,0.0,0.0,0.0,0.0,10450.0,67.0,0.0,0,2823.74,0.0,2823.74,Division 1,Department 1,Section 1,Position 1,Charging 1A
7f5e9d3c-a710-439f-95c0-a6a55816da9c,64440449-6fda-47ef-8faa-6c4874e8e84f,"LastName6, FirstName6",11/10/2024,10500.0,6153.12,21000.0,945.0,2025.0,0.0,0.0,525.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0,0.0,0.0,0.0,8.0,807.68,0.0,0.0,20.0,2019.2,205.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,52.0,0.0,0,4346.88,0.0,4346.88,Division 1,Department 1,Section 1,Position 1,Charging 1A
54b24c7f-14f5-4cd1-bd93-49029c29ec2a,64d70a90-b56c-4c0e-a25b-bf64a91299c1,"LastName7, FirstName7",11/10/2024,10550.0,8114.54,21100.0,945.0,2025.0,0.0,0.0,527.5,527.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0,0.0,0.0,0.0,2.0,202.88,0.0,0.0,7.0,710.08,206.0,0.0,0.0,0.0,0.0,0.0,0.0,10550.0,71.0,0.0,0,2435.46,0.0,2435.46,Division 1,Department 1,Section 1,Position 1,Charging 1A
2fd13d87-b48c-4136-9948-9be0099f0b81,fb7b4a76-0843-41bf-b285-2944dd5cd97d,"LastName8, FirstName8",11/10/2024,10600.0,6934.68,21200.0,945.0,2025.0,0.0,0.0,530.0,530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0,0.0,0.0,0.0,4.0,407.68,1.0,101.92,16.0,1630.72,207.0,0.0,0.0,0.0,0.0,0.0,0.0,10600.0,59.0,0.0,0,3665.32,0.0,3665.32,Division 1,Department 1,Section 1,Position 1,Charging 1A
cce83026-5f72-4c32-bc08-3d68da309b55,78627a6c-b632-4792-ab78-92be7c95ab2a,"LastName9, FirstName9",11/10/2024,10650.0,7927.02,21300.0,968.0,2072.0,0.0,0.0,532.5,532.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0,0.0,0.0,0.0,2.0,204.8,1.0,102.4,8.45,865.28,208.0,0.0,0.0,0.0,0.0,0.0,0.0,10650.0,68.55,0.0,0,2722.98,0.0,2722.98,Division 1,Department 1,Section 1,Position 1,Charging 1A
eac919b0-4a68-4f36-ad8e-22c0cba882e0,83476f11-35da-471a-bf59-763933c0a881,"LastName10, FirstName10",11/10/2024,10700.0,7398.04,21400.0,968.0,2072.0,0.0,0.0,535.0,535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0,0.0,0.0,0.0,2.0,205.76,0.0,0.0,15.0,1543.2,209.0,0.0,0.0,0.0,0.0,0.0,0.0,10700.0,63.0,0.0,0,3301.96,0.0,3301.96,Division 1,Department 1,Section 1,Position 1,Charging 1A
